productNaam ;productOntwikkelaar ;consoleType ;productUitgever ;productPrijs ;productImg ;aantalInVooraad;productGenre ;productType;productOmschr 
Xbox 360 koptelefoon;Microsoft;Xbox 360;Microsoft;24,95;http://www.koptelefoon.org/wp-content/uploads/xbox-360-koptelefoon-300x300.jpg;24;Koptelefoon;Accessoire;een DTS 7.1 draadloze surround RGB gaming headset geschikt voor alle platfromen. De Arctis 3 kenmerkt zich door S1 speaker drivers, DTS Headphone X, ClearCast microfoon, ChatMix Dial ski goggle hoofdband en AirWeave oorkussens.
Xbox One koptelefoon;Microsoft;Xbox One;Microsoft;34,99;https://compass-ssl.xbox.com/assets/e4/e1/e4e10caa-6f92-4cd8-a10a-8a9f6aa0f168.jpg?n=X1-Stereo-Headset-SE_Gallery_1056x594_02.jpg;54;Koptelefoon;Accessoire;De Logitech G933 Artemis Spectrum is een draadloze gaming-hoofdtelefoon met opvouwbare microfoon voor de echte audiofans. De G933 levert meeslepende surroundsound met geavanceerde Pro-G™-audiodrivers. Bedien je audio, verlichting en programmeerbare macroknoppen op afstand, rechtstreeks vanaf je headset
Playstation 3 koptelefoon;Sony;Playstation 3;Sony;75,99;http://www.gamingonly.nl/images/overige/132525583879.jpg;34;Koptelefoon;Accessoire;De headset is uitgerust met signature HyperXTM -geheugenschuim en comfortabel premium imitatieleer, zodat je uren achter elkaar comfortabel kunt gamen. Het hoogwaardige en compacte geheugenschuim is rood, om het zo te onderscheiden van de concurrentie en het bekroonde HyperX-comfort aan te duiden.
Playstation 4 koptelefoon;Sony;Playstation 4;Sony;89,99;https://image.coolblue.io/products/410568?height=390&width=422;54;Koptelefoon;Accessoire;biedt een breder audiobereik dat diepte en breedte levert voor nog betere audioprecisie. Krijg voorsprong op de concurrentie doordat je de locatie van je tegenspelers nauwkeuriger kunt horen, zelfs als ze verder weg zijn. Opnieuw ontwikkelde audioprofielen creëren méér ruimtelijk geluid dat ideaal is voor FPS en gameplay in open omgevingen. Wanneer je naar muziek luistert, lijkt het alsof je er live bij bent
Xbox 360 Racewheel;Microsoft;Xbox 360;Microsoft;154,99;http://gearmedia.ign.com/gear/image/article/747/747438/e3-2006-microsoft-announces-new-360-accessories-20060509113247181_1164240404-000.jpg;34;Racewheel;Accessoire;Het is een racestuur met echte kwaliteit om de strijd aan te gaan op de circuits voor een degelijke prijs. De Apex is ontworpen door Hori door een ontwikkelteam in Tokyo waarbij de functionaliteiten en voordelen van een middenklasse racewiel samen zijn gebracht in één racestuur.
Xbox One Racewheel;Microsoft;Xbox One;Microsoft;179,99;https://heavyeditorial.files.wordpress.com/2015/06/rw2.jpg?quality=65&strip=all&strip=all;45;Racewheel;Accessoire;" Minimale schakeltijden dankzij professionele versnellingspook en razendsnel bereikbare schakelhendels.
Fijn verstelbare gas- en rempedalen.
Sterke trillingseffecten voor een heel realistisch spelgevoel.
Heel proecies digitaal stuurkruis.
12 toetsen, vrij instelbare layout.
Groot stuurbereik van 180°.
Instelbare gevoeligheid."
Playstation 3  Racewheel;Sony;Playstation 3;Sony;245,99;http://www.geekaygames.com/u_images/product/1330933023_main_Officially_Licensed_Racing_Wheel_Controller_3_by_HORI.jpg;65;Racewheel;Accessoire;Het beste racewheel voor ouderen vanwege de sterke grip
Xbox 360 Controller;Microsoft;Xbox 360;Microsoft;49,99;https://www.gooxbox360.nl/images/detailed/1/Controller-Wireless-Wit---Microsoft.jpg;67;Controller;Accessoire;Je kunt nu draadloos gamen en daarbij genieten van optimale prestaties. Dankzij geoptimaliseerde technologie kun je de draadloze Xbox 360 controller en twee AA-batterijen vanaf maximaal 9 meter tot wel 40 uur gebruiken. En je wordt ruim voordat de batterijen leeg zijn gewaarschuwd, zodat je tijdig een Play & Charge kabel kunt aansluiten om zonder onderbreking verder te kunnen gamen. Als je de Xbox 360 hoofdtelefoon op de controller aansluit, kun je genieten van full duplex spraakcommunicatie: een unicum in de wereld van draadloos entertainment.
Xbox One Controller;Microsoft;Xbox One;Microsoft;56,99;https://content.ebgames.com.au/website/videos/images/screenshots/217314_screenshot_04_l.jpg;77;Controller;Accessoire;Hij biedt nog meer comfort, werkt met bluetooth-technologie en heeft een grip met textuur. Hij is ook compatibel met de zwarte Xbox One.
Playstation 3 Controller;Sony;Playstation 3;Sony;95,99;https://www.ps3gameskopen.nl/images/detailed/5/ps3_controller_lookalike140326888253a42f129696b.jpg;35;Controller;Accessoire;Naar deze draadloze controller met trilfunctie en superieure reactiemogelijkheden is vol spanning en ongeduld uitgekeken en deze controller maakt het gamers mogelijk om het heft nu volledig in eigen handen te nemen.
Playstation 4 Controller;Sony;Playstation 4;Sony;30,99;https://i5.walmartimages.com/asr/5e4e3bcf-27f3-42ef-b676-63564a34af22_1.ac574a590061e1f2b63c97dda37a7a92.jpeg;55;Controller;Accessoire;De DualShock 4 controller beschikt over nieuwe verbeteringen voor de meest meeslepende game-ervaringen, inclusief een supergevoelige six-axis-sensor en een touchpad bovenop de controller dat een compleet nieuwe manier van gamen biedt. Met de nieuwe SHARE-toets kun je video's streamen en delen met slechts een druk op de knop.
